candle_begin_time,open,high,low,close,volume
2020-12-09,574.08,577.74,530.12,567.8,237036.790393
2020-12-10,567.92,578.0,548.41,557.92,125768.871014
2020-12-11,557.84,568.61,535.22,554.15,146956.673174
2020-12-12,554.3,560.87,543.07,554.42,82819.660669
2020-12-13,554.36,589.96,551.77,585.15,96005.941422
2020-12-14,585.15,595.32,575.71,584.31,87779.561044
2020-12-15,584.02,597.47,580.0,585.96,81452.379059
2020-12-16,585.86,625.0,581.0,620.86,149237.629052
2020-12-17,620.87,671.63,616.56,665.4,289422.854206
2020-12-18,665.39,676.56,626.54,637.9,250723.82839
2020-12-19,637.94,660.64,634.29,655.47,125037.510598
2020-12-20,655.53,670.36,640.98,654.3,145308.668582
2020-12-21,654.48,658.0,595.05,614.25,205030.436094
2020-12-22,614.17,634.15,588.01,626.46,147839.764577
2020-12-23,626.43,638.79,592.3,605.61,197191.157308
2020-12-24,605.72,613.43,547.25,592.7,236276.224444
2020-12-25,592.71,634.47,585.65,613.52,153907.801163
2020-12-26,613.58,637.69,607.84,628.59,160509.144417
2020-12-27,628.47,700.0,626.0,698.81,358580.080584
2020-12-28,698.81,741.0,660.16,729.09,349300.97994
2020-12-29,729.37,748.08,689.0,719.3,207502.647476
2020-12-30,719.43,747.59,705.0,734.35,138214.345814
2020-12-31,734.38,758.6,721.19,736.04,147431.443668
2021-01-01,736.04,749.25,725.14,735.42,104537.431704
2021-01-02,735.59,772.85,714.58,768.69,112073.40723
2021-01-03,768.92,921.99,754.0,918.0,195848.562716
2021-01-04,918.14,1167.99,885.0,1040.7,648112.351849
2021-01-05,1039.87,1134.49,975.17,1052.5,371135.957717
2021-01-06,1052.88,1166.75,1037.06,1143.41,335969.506346
2021-01-07,1144.09,1250.0,1117.18,1249.73,312330.31515
2021-01-08,1249.89,1288.8,1065.6,1216.79,504183.466765
2021-01-09,1216.61,1242.92,1135.0,1220.05,293478.047336
2021-01-10,1220.16,1349.03,1192.61,1303.17,291610.03877
2021-01-11,1303.16,1325.28,950.6,976.26,695689.945871
2021-01-12,976.33,1150.0,915.0,1053.96,506843.034667
2021-01-13,1053.33,1126.53,986.59,1071.31,305757.366634
2021-01-14,1071.54,1220.72,1061.07,1213.13,255638.449368
2021-01-15,1213.18,1256.37,1127.52,1141.96,374400.161746
2021-01-16,1141.71,1279.82,1070.0,1278.05,342834.711893
2021-01-17,1278.05,1293.39,1164.0,1241.41,277952.059523
2021-01-18,1241.61,1269.15,1182.21,1240.23,208742.308019
2021-01-19,1240.34,1438.0,1209.99,1414.26,335895.85109
2021-01-20,1414.39,1437.72,1235.33,1273.44,394529.860195
2021-01-21,1273.2,1389.92,1186.0,1188.19,385581.509415
2021-01-22,1188.2,1241.73,1042.01,1233.27,454602.730823
2021-01-23,1233.37,1273.63,1196.0,1230.45,254800.08
2021-01-24,1230.84,1349.71,1220.02,1319.99,231047.474786
2021-01-25,1320.1,1475.41,1304.74,1435.1,292737.670953
2021-01-26,1435.02,1442.67,1243.59,1280.31,364788.258159
2021-01-27,1280.17,1374.07,1206.01,1279.55,374638.598819
2021-01-28,1279.61,1359.09,1217.0,1350.0,273788.018229
2021-01-29,1350.0,1437.75,1285.6,1396.8,310567.180064
2021-01-30,1397.12,1409.99,1313.16,1371.42,223426.458185
2021-01-31,1371.16,1390.97,1291.0,1310.56,138282.072923
2021-02-01,1310.84,1346.1,1269.71,1301.64,177610.833241
2021-02-02,1301.64,1464.25,1299.7,1427.9,171595.563524
2021-02-03,1427.76,1599.0,1422.26,1596.54,207935.255493
2021-02-04,1597.2,1695.0,1555.69,1580.4,211841.437837
2021-02-05,1580.4,1748.0,1565.43,1741.76,197316.020598
2021-02-06,1742.31,1762.0,1644.01,1673.48,151897.027212
2021-02-07,1673.53,1718.2,1525.0,1537.46,175009.734689
2021-02-08,1538.14,1756.97,1491.09,1734.01,215592.59007
2021-02-09,1734.94,1820.84,1686.78,1749.99,179597.254579
2021-02-10,1749.14,1839.67,1678.14,1713.07,160430.22496
2021-02-11,1713.53,1818.19,1690.37,1797.68,94146.062567
2021-02-12,1797.25,1810.62,1740.54,1788.94,132236.452302
2021-02-13,1789.19,1871.29,1764.91,1816.29,125644.253987
2021-02-14,1815.9,1850.0,1782.58,1799.52,91009.034025
2021-02-15,1798.68,1832.0,1655.0,1809.84,165893.793365
2021-02-16,1810.0,1835.81,1745.1,1772.94,127305.053942
2021-02-17,1773.42,1842.0,1723.9,1811.33,130886.810484
2021-02-18,1811.47,1928.8,1799.29,1907.99,115530.404806
2021-02-19,1907.97,1951.48,1890.67,1929.78,99849.065772
2021-02-20,1929.92,2041.0,1923.1,1978.04,137931.423387
2021-02-21,1978.57,2022.0,1795.56,1960.41,127954.273349
2021-02-22,1960.27,1975.0,1550.0,1732.48,234154.170717
2021-02-23,1732.24,1803.0,1355.1,1574.4,462283.73145
2021-02-24,1574.53,1712.25,1434.38,1659.61,249249.995536
2021-02-25,1660.34,1676.68,1554.41,1627.18,146702.7481
2021-02-26,1627.62,1636.51,1399.6,1532.33,254319.510123
2021-02-27,1532.67,1561.92,1410.61,1453.64,142907.137861
2021-02-28,1453.54,1522.79,1292.9,1318.5,239262.47809
2021-03-01,1318.3,1555.0,1301.49,1551.55,180106.544473
2021-03-02,1551.4,1603.3,1502.55,1553.75,143743.405434
2021-03-03,1553.28,1656.52,1455.78,1600.03,182354.250905
2021-03-04,1600.65,1634.54,1526.6,1576.27,147391.511034
2021-03-05,1576.25,1599.76,1441.66,1480.92,166851.939233
2021-03-06,1480.75,1597.74,1448.67,1544.02,135396.473643
2021-03-07,1544.11,1695.78,1541.11,1651.53,143622.563051
2021-03-08,1651.53,1754.68,1633.68,1741.73,174966.415681
2021-03-09,1742.5,1859.27,1722.51,1832.42,136550.516733
2021-03-10,1832.31,1877.45,1757.86,1831.46,125587.227995
2021-03-11,1831.47,1869.44,1724.67,1794.86,142599.337663
2021-03-12,1795.85,1845.76,1720.41,1775.58,112144.041386
2021-03-13,1775.55,1899.6,1724.3,1876.0,115925.352969
2021-03-14,1876.0,1945.4,1846.02,1857.88,77418.793511
2021-03-15,1857.91,1893.59,1733.0,1765.69,159838.520282
2021-03-16,1765.45,1820.02,1711.64,1803.9,114314.824327
2021-03-17,1803.93,1813.0,1741.0,1772.41,76379.734309
2021-03-18,1772.44,1851.0,1767.02,1821.68,76279.869687
2021-03-19,1821.88,1832.09,1732.42,1822.0,78649.584511
2021-03-20,1822.0,1869.62,1800.51,1855.7,57145.577579
2021-03-21,1855.69,1859.34,1745.0,1789.04,91724.791353
2021-03-22,1789.04,1808.97,1752.87,1778.4,53711.237328
2021-03-23,1778.51,1783.2,1650.96,1701.92,108152.977804
2021-03-24,1702.59,1740.63,1648.67,1721.27,76333.163418
2021-03-25,1721.6,1725.74,1542.85,1594.94,158947.845382
2021-03-26,1594.79,1650.76,1570.59,1641.04,77117.210005
